FFFF,054
FFFF,058
FFFF,060
FFFF,063
FFFF,068
FFFF,070
FFFF,073
FFFF,078
FFFF,079
FFFF,080
FFFF,082
FFFF,083
FFFF,086
FFFF,089
FFFF,090
4200,003
4200,006
4200,017
4200,018
4201,003
4201,007
4201,031
4202,003
4202,004
4203,003
4203,004
4204,003
4204,004
4205,003
4205,004
4206,003
4206,004
4207,003
4208,003
4208,006
4209,003
420A,003
420B,003
420B,005
420C,003
420D,003
420D,005
420E,003
420F,003
4210,003
4211,003
4212,003
4212,004
4213,003
4213,004
4214,003
4214,005
4215,003
4215,004
4216,003
4217,003
4218,003
4219,003
421A,003
421B,003
421C,003
421D,003
421D,004
421D,012
421E,003
421F,003
421F,005
421F,016
421F,017
4220,003
4220,006
4221,003
4221,005
4222,003
4222,005
4300,003
4300,004
4301,003
4302,003
4302,004
4303,003
4304,003
4304,004
4305,003
4306,003
4307,003
4308,003
4309,003
430A,003
430B,003
430C,003
430D,003
430E,003
430F,003
4310,003
4311,003
4312,003
4313,003
4314,003
4315,003
4315,004
4316,003
4316,028
4317,003
4317,004
4318,003
4319,003
4319,004
431A,003
431B,003
431B,004
431D,003
431E,003
431E,004
431F,004
4320,004
4321,003
4321,004
4322,003
4400,003
4401,003
4401,004
4402,003
4402,004
4402,014
4403,003
4403,004
4404,003
4405,003
4406,003
4407,003
4408,003
4409,003
4409,004
440A,003
440A,004
440B,003
4500,003
4501,003
4502,003
4503,003
4504,003
4505,003
4506,003
4507,003
4508,003
4509,003
450A,003
450B,003
450C,003
450D,003
450E,003
450F,003
450F,004
4510,003
4511,003
4512,003
4512,004
4600,003
4600,004
4601,003
4602,003
4603,003
4604,003
4605,003
4606,003
4607,003
4608,003
4609,003
460A,003
460A,004
4700,003
4701,003
4702,003
4703,003
4704,003
4704,004
4705,003
4706,003
4707,003
4708,003
4709,003
470A,003
470B,003
470C,003
470D,003
470E,003
470F,003
4710,003
4710,004
4711,003
4800,003
4801,003
4802,003
4803,003
4804,003
4805,003
4805,004
4900,003
4900,004
4901,003
4902,003
4903,003
4903,004
4903,022
4904,003
4905,003
4906,003
4906,004
4A00,003
4A00,004
4A01,003
4A02,003
4A03,003
4A04,003
4A05,003
4A06,003
4A07,003
4A08,003
4A09,003
4B00,003
4B01,003
4B02,003
4B03,003
4B04,003
4B04,004
4B05,003
4B06,003
4B06,004
4B06,012
4B06,015
4B07,003
4B07,004
4B08,003
4B09,003
4B0A,003
4B0B,003
4B0C,003
4B0D,003
4B0D,004
4B0D,016
4B0E,003
4B0F,003
4B10,003
4B10,004
4B11,003
4B11,004
4B12,003
4B13,003
4B14,003
4B14,004
4B15,004
4B16,003
4B17,003
4B18,003
4B19,003
4B19,004
4B19,014
4B1A,003
4B1B,003
4B1B,004
4B1C,003
4B1D,003
4B1E,003
4B1E,004
4B1F,003
4B20,003
4B21,003
4B22,003
4B23,004
4B24,003
4B24,004
4B25,003
4B26,003
4B27,003
4B27,004
4B28,003
4B29,004
4B2A,003
4B2B,003
4B2C,003
4B2D,003
4B2E,003
4B2F,003
4B30,003
4B31,003
4B32,003
4B33,003
4B34,003
4B35,003
4B36,003
4B37,003
4B38,003
4B38,004
4B39,003
4B3A,003
4B3B,003
4B3C,003
4B3D,003
4B3D,012
4B3D,019
4B3E,003
4B3E,004
4B3F,004
4B40,003
4B40,004
4B41,003
4B42,003
4B43,003
4B44,003
4B44,004
4B44,012
4B45,003
4B45,004
4B45,012
