0,0
0,4
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,104
1,0
3,1
3,2
3,3
3,4
3,5
3,8
3,9
3,10
3,11
3,12
3,15
3,17
3,20
3,22
3,24
3,25
3,26
3,27
3,28
3,31
3,32
3,33
3,34
3,35
3,38
3,40
3,41
3,42
3,43
3,44
3,47
3,48
3,49
3,50
3,51
4,1
4,2
4,3
4,4
4,5
4,8
4,9
4,10
4,11
4,12
4,15
4,17
4,20
4,22
4,24
4,25
4,26
4,27
4,28
4,31
4,32
4,33
4,34
4,35
4,38
4,40
4,41
4,42
4,43
4,44
4,47
4,48
4,49
4,50
4,51
5,1
5,2
5,3
5,4
5,5
5,7
5,8
5,9
5,10
5,11
5,14
5,16
5,19
5,21
5,23
5,24
5,25
5,26
5,27
5,30
5,31
5,32
5,33
5,34
5,38
5,39
5,40
5,41
5,42
5,45
5,47
5,48
5,49
5,50
5,51
5,53
5,54
5,55
5,56
5,57
5,60
5,61
5,62
5,63
5,64
5,67
6,1
6,2
6,3
6,4
6,5
6,8
6,9
6,10
6,11
6,12
6,15
6,17
6,20
6,22
6,24
6,25
6,26
6,27
6,28
6,31
6,32
6,33
6,34
6,35
6,38
6,40
6,41
6,42
6,43
6,44
6,47
6,48
6,49
6,50
6,51
6,54
7,1
7,2
7,3
7,4
7,5
7,8
7,9
7,10
7,11
7,12
7,15
7,17
7,20
7,22
7,24
7,25
7,26
7,27
7,28
7,31
7,32
7,33
7,34
7,35
7,38
7,40
7,41
7,42
7,43
7,44
7,47
7,48
7,49
7,50
7,51
7,54
8,1
8,2
8,3
8,4
8,5
8,8
8,10
8,12
8,14
8,15
8,16
8,17
8,18
8,21
8,22
8,23
8,25
8,27
8,28
8,29
8,30
8,31
8,35
8,36
8,37
8,38
8,39
8,42
8,43
8,44
8,45
8,46
8,49
8,50
9,1
9,2
9,3
9,4
9,7
9,8
9,9
9,10
9,12
9,13
9,14
9,15
9,18
9,19
9,20
9,21
9,23
9,24
9,25
9,26
9,28
10,1
10,2
10,3
10,4
